mz	time	mz.min	mz.max	p_0hr_01_1	p_0hr_01_3	p_0hr_01_5	p_0hr_02_1	p_0hr_02_3	p_0hr_02_5	p_0hr_03_1	p_0hr_03_3	p_0hr_03_5	mock_6hr_01_1	mock_6hr_01_3	mock_6hr_01_5	mock_6hr_02_1	mock_6hr_02_3	mock_6hr_02_5	mock_6hr_03_1	mock_6hr_03_3	mock_6hr_03_5	yf_6hr_01_1	yf_6hr_01_3	yf_6hr_01_5	yf_6hr_02_1	yf_6hr_02_3	yf_6hr_02_5	yf_6hr_03_1	yf_6hr_03_3	yf_6hr_03_5
788.1023	39.01656	788.0559	788.1395	18.3449	18.8202	18.848	18.2888	19.1378	19.0781	13.5969	13.0034	12.1332	14.0673	14.3001	14.7433	15.6096	13.4883	14.2953	14.2642	14.177	14.5573	14.3089	15.3603	14.9932	15.0368	14.1006	15.2469	14.8603	15.7741	13.136
788.1957	39.09642	788.1563	788.2399	18.8499	17.0547	19.1389	16.6235	18.9075	15.4544	13.6683	14.2305	13.4294	16.9221	14.8181	14.7967	15.0024	11.4049	14.468	14.1438	13.4474	14.3334	13.7625	14.1929	14.9894	13.9887	15.2959	14.3167	15.6349	16.2866	14.2293
788.2958	38.58392	788.2482	788.3444	18.3002	15.9855	19.6445	16.1777	18.9129	17.3391	11.1084	16.2166	14.916	16.8969	15.0202	16.3502	11.8164	16.453	10.9519	14.2171	14.8618	13.1973	14.2193	13.8287	15.1984	12.1652	13.8175	14.0126	12.002	15.3384	12.3821
788.401	39.14168	788.3486	788.4322	19.1269	18.4846	19.1557	18.684	19.0073	18.4823	15.3821	13.7126	13.9409	15.3901	14.2447	16.8066	14.5807	16.0279	13.3403	15.4326	15.6567	14.7222	15.4654	15.7426	16.9543	16.5696	16.645	16.4811	16.4917	16.4755	16.5414
788.4723	39.90624	788.449	788.4908	17.9391	17.3228	18.2219	18.1392	17.6016	18.497	12.806	11.7952	13.7489	16.7837	15.7939	15.5004	9.9658	13.4979	13.3887	14.5688	16.0885	13.4007	15.1069	12.0223	14.058	14.4551	14.2893	15.561	13.2371	12.6448	16.211
788.5215	40.22038	788.4991	788.5493	17.8888	18.7686	17.5538	18.4349	16.7654	17.4122	14.4995	14.7717	14.3943	15.8266	15.2535	14.6552	13.1304	13.8276	13.0119	12.8372	14.4363	14.4923	14.2991	15.2586	15.0384	15.6444	13.9186	14.3295	11.7233	14.4649	14.0867
788.6126	39.63991	788.5912	788.633	17.6226	18.2914	17.9431	18.7082	16.3309	17.9736	11.7725	13.5586	14.3496	14.3382	15.3828	14.5976	13.6719	11.2047	13.918	14.7903	15.2057	12.3092	9.7288	14.8063	9.9658	9.9658	14.1778	13.3023	9.9658	14.0976	13.1641
788.6923	39.14762	788.6414	788.7586	16.633	19.598	20.0173	18.081	19.0813	19.2488	13.1061	12.6044	15.786	15.2207	16.3232	14.584	13.0451	15.6253	14.0876	14.696	13.9425	14.5687	14.0254	15.5513	14.3069	13.8587	14.8552	13.7146	14.6691	14.3206	15.5734
788.8223	42.97784	788.7669	788.8674	17.1041	16.0909	19.8055	17.8399	17.4036	18.5627	17.6809	17.7743	17.8402	18.4562	18.3	18.4768	17.8568	17.7571	17.8044	18.1941	18.1079	17.8945	18.073	18.3591	18.1931	18.1773	18.3084	18.247	18.0808	17.884	17.9631
788.9382	41.32603	788.8841	788.9679	19.2064	15.5652	17.4234	18.1435	17.7762	17.8579	16.2375	16.2147	16.1396	17.5319	16.9944	17.2565	16.0784	14.9383	16.1491	16.2718	16.5479	16.5248	16.8922	17.1701	17.0438	17.2448	16.983	16.6915	16.4551	16.6235	16.4783
789.052	39.60897	788.9846	789.1102	19.7578	19.475	19.9707	19.784	18.1589	16.9672	15.7083	16.0232	16.3782	16.7067	16.9795	16.1503	16.178	15.8503	15.2411	17.1254	17.0046	15.2772	14.3893	14.0969	15.7061	15.7695	15.9574	14.0397	16.0756	15.5968	14.3223
789.1437	38.38688	789.1186	789.1689	17.4529	16.1213	19.0192	16.2455	18.6734	17.0203	12.043	11.8943	15.3762	14.1933	15.2934	14.3693	14.7741	12.0143	12.2231	15.9654	14.043	15.1433	13.6964	14.1568	15.5755	14.5727	16.2612	14.0129	15.2731	15.4417	14.1005
